Area served,Airport name,IATA,ICAO,Airport type,Operational,Owned/operated by,State,Scheme Covered,Latitude,Longitude,Demand Type,Airport Category,2022,2023,2024,2025,Per Capita Income
Port Blair,Veer Savarkar International Airport,IXZ,VOPB,International (CE),Yes,MoD and AAI,Andaman and Nicobar Islands,Krishi-Udan,11.640194,92.72902, Leisure,Mini Hub,761610.0,1273138.0,1453811.0,1656704.0,0.0
Kadapa,Kadapa Airport,CDP,VOCP,Domestic,Yes,AAI,Andhra Pradesh,RCS-UDAN,14.513154,78.769183,,,12855.0,70126.0,65544.0,52745.0,266240.0
Kurnool,Uyyalawada Narasimha Reddy Airport,KJB,VOKU,Domestic,Yes,State Government,Andhra Pradesh,RCS-UDAN,15.716288,78.16923,,,31535.0,38622.0,39746.0,19427.0,266240.0
Rajahmundry,Rajahmundry Airport,RJA,VORY,Domestic,Yes,AAI,Andhra Pradesh,,17.105799,81.813204,,,275601.0,432804.0,424813.0,489114.0,266240.0
Tirupati,Tirupati Airport,TIR,VOTP,Domestic,Yes,AAI,Andhra Pradesh,,13.631988,79.539869, Pilgrimage,Mini Hub,623341.0,919267.0,870662.0,995640.0,266240.0
Vijayawada,Vijayawada International Airport,VGA,VOBZ,International,Yes,AAI,Andhra Pradesh,,16.530011,80.804888, Industrial,Mini Hub,625131.0,966383.0,1062506.0,1388943.0,266240.0
Visakhapatnam,Visakhapatnam International Airport,VTZ,VOVZ,Customs,Yes,MoD and AAI,Andhra Pradesh,Krishi-Udan,17.723506,83.227729,,,1610483.0,2500654.0,2788665.0,2955089.0,266240.0
Itanagar,Donyi Polo Airport,HGI,VEHO,Domestic,Yes,AAI,Arunachal Pradesh,RCS-UDAN,26.96683,93.638792,,,0.0,35538.0,147790.0,170296.0,246813.0
Pasighat,Pasighat Airport,IXT,VEPG,State/Private,Yes,State Government,Arunachal Pradesh,RCS-UDAN,28.064786,95.336952,,,5814.0,9920.0,8211.0,8456.0,246813.0
Tezu,Tezu Airport,TEI,VETJ,Domestic,Yes,AAI,Arunachal Pradesh,RCS-UDAN & Krishi-Udan,27.9412002563,96.1343994141,,,6770.0,16517.0,12048.0,9239.0,246813.0
Ziro,Ziro Airport,ZER,VEZO,State/Private,Yes,AAI,Arunachal Pradesh,,27.588301,93.828102,,,0.0,181.0,299.0,468.0,246813.0
Dibrugarh,Dibrugarh Airport,DIB,VEMN,Domestic,Yes,AAI,Assam,Krishi-Udan,27.4839000702,95.0168991089, Industrial,Mini Hub,525925.0,675304.0,745876.0,822437.0,159185.0
Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU,VEGT,International,Yes,Adani Group,Assam,,26.106654,91.585226,,,3148956.0,5051480.0,5957609.0,6160157.0,159185.0
Jorhat,Jorhat Airport,JRH,VEJT,Domestic (CE),Yes,MoD and AAI,Assam,RCS-UDAN & Krishi-Udan,26.730456,94.175416,,,75172.0,151617.0,168468.0,130754.0,159185.0
North Lakhimpur,Lilabari Airport,IXI,VELR,Domestic,Yes,AAI,Assam,RCS-UDAN & Krishi-Udan,27.295682,94.097266,,,27486.0,30417.0,36172.0,30108.0,159185.0
Rupsi,Rupsi Airport,NAN,VERU,Domestic,Yes,AAI,Assam,RCS-UDAN,0.0,0.0,,,,,,0.0,159185.0
Silchar,Silchar Airport,IXS,VEKU,Domestic (CE),Yes,MoD and AAI,Assam,Krishi-Udan,24.9129009247,92.9786987305, Industrial,Mini Hub,316178.0,399006.0,412654.0,483464.0,159185.0
Tezpur,Tezpur Airport,TEZ,VETZ,Domestic (CE),Yes,MoD and AAI,Assam,RCS-UDAN & Krishi-Udan,26.7091007232666,92.78469848632812,,,4896.0,4024.0,32273.0,27944.0,159185.0
Darbhanga,Darbhanga Airport,DBR,VEDH,Domestic (CE),Yes,MoD and AAI,Bihar,RCS-UDAN & Krishi-Udan,26.192801,85.916901, Pilgrimage,Mini Hub,619948.0,614114.0,526066.0,523173.0,69321.0
Gaya,Gaya Airport,GAY,VEGY,Customs,Yes,AAI,Bihar,,24.744301,84.951202,,,47311.0,229460.0,320295.0,329304.0,69321.0
Patna,Jay Prakash Narayan Airport,PAT,VEPT,Customs,Yes,AAI,Bihar,Krishi-Udan,25.591299,85.087997,,,2967681.0,3748635.0,3440450.0,3819477.0,69321.0
Chandigarh,Shaheed Bhagat Singh International Airport,IXC,VICG,Customs,Yes,CHIAL,Chandigarh,Krishi-Udan,30.6735,76.788498, Industrial,Mini Hub,2289169.0,3677786.0,3721229.0,4149840.0,492903.9084
Ambikapur,Ambikapur Airport,AHA,VEAP,Domestic,Yes,State Government,Chhattisgarh,RCS-UDAN,22.98753,83.19612,,,0.0,0.0,0.0,922.0,162870.0
Bilaspur,Bilasa Devi Kevat Airport,PAB,VEBU,Domestic,Yes,State Government,Chhattisgarh,RCS-UDAN,21.9884,82.111,,,25356.0,39570.0,31083.0,36850.0,162870.0
Jagdalpur,Jagdalpur Airport,JGB,VEJR,State/Private,Yes,State Government,Chhattisgarh,RCS-UDAN,19.074301,82.036797,,,46519.0,64984.0,55019.0,74407.0,162870.0
Raipur,Swami Vivekananda Airport,RPR,VERP,Domestic,Yes,AAI,Chhattisgarh,Krishi-Udan,21.180401,81.7388, Industrial,Mini Hub,1407157.0,2251998.0,2432118.0,2572031.0,162870.0
Diu,Diu Airport,DIU,VADU,Domestic,Yes,AAI,Dadra and Nagar Haveli & Daman and Diu,RCS-UDAN,20.714185,70.921855,,,31860.0,40109.0,66252.0,104218.0,0.0
Delhi,"Indira Gandhi International Airport, New Delhi",DEL,VIDP,International,Yes,DIAL,Delhi,,28.55563,77.09519,,,,,,0.0,493024.0
Delhi Ncr,"Safdarjung Airport, New Delhi",NAN,VIDD,State / Private,Yes,AAI,Delhi,,0.0,0.0,,,39339998.0,65327833.0,73673708.0,79259890.0,493024.0
Ghaziabad,"Hindon Airport, Ghaziabad",HDO,VIDX,Domestic (CE),Yes,MoD and AAI,Delhi,,28.707701,77.358902,,,,,,0.0,493024.0
Dabolim,Dabolim Airport,GOI,VOGO,International (CE),Yes,MoD and AAI,Goa,Krishi-Udan,15.380062,73.833328, Leisure,Mini Hub,5238051.0,8359393.0,6872411.0,7260779.0,636925.9353
Mopa,Manohar International Airport,GOX,VOGA,International,Yes,GMR Group,Goa,,15.744257,73.860625, Leisure,Mini Hub,0.0,664160.0,4406087.0,4643852.0,636925.9353
Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD,VAAH,International,Yes,Adani Group,Gujarat,,23.0772,72.634697,,,5670896.0,10137001.0,11696227.0,13427697.0,330724.5168
Bhavnagar,Bhavnagar Airport,BHU,VABV,Domestic,Yes,AAI,Gujarat,RCS-UDAN,21.752199173,72.1852035522,,,34442.0,60970.0,73473.0,74503.0,330724.5168
Bhuj,Bhuj Airport,BHJ,VABJ,Domestic (CE),Yes,MoD and AAI,Gujarat,Krishi-Udan,23.2877998352,69.6701965332,,,17840.0,45755.0,66652.0,186403.0,330724.5168
Jamnagar,Jamnagar Airport,JGA,VAJM,Domestic (CE),Yes,MoD and AAI,Gujarat,RCS-UDAN & Krishi-Udan,22.465499877929688,70.01260375976562,,,61668.0,122215.0,169485.0,169099.0,330724.5168
Junagadh,Keshod Airport,IXK,VAKS,Domestic,Yes,AAI,Gujarat,RCS-UDAN,21.317101,70.270401,,,0.0,13324.0,13885.0,19322.0,330724.5168
Kandla,Kandla Airport,IXY,VAKE,Domestic,Yes,AAI,Gujarat,RCS-UDAN,23.1127,70.100304,,,92445.0,77718.0,80517.0,48408.0,330724.5168
Mundra,Mundra Airport,NAN,VAMA,State/Private,Yes,Adani Group,Gujarat,RCS-UDAN,0.0,0.0,,,279.0,189.0,1770.0,5080.0,330724.5168
Porbandar,Porbandar Airport,PBD,VAPR,Domestic,Yes,AAI,Gujarat,RCS-UDAN,21.649524,69.656405,,,14790.0,18841.0,2537.0,694.0,330724.5168
Rajkot,Rajkot International Airport,HSR,VAHS,International,Yes,AAI,Gujarat,Krishi-Udan,22.378824,71.039391, Industrial,Mini Hub,0.0,0.0,525668.0,1088570.0,330724.5168
Rajkot - Domestic,Rajkot Airport,RAJ,VARK,Domestic,Yes,AAI,Gujarat,Krishi-Udan,22.3092,70.779503, Industrial,Mini Hub,,,,0.0,330724.5168
Surat,Surat International Airport[8],STV,VASU,International,Yes,AAI,Gujarat,,21.115531,72.743251, Industrial,Mini Hub,0.0,0.0,1380752.0,1724821.0,330724.5168
Vadodara,Vadodara Airport,BDQ,VABO,Customs,Yes,AAI,Gujarat,,22.336201,73.226303, Industrial,Mini Hub,575690.0,1088990.0,0.0,0.0,330724.5168
Hisar,Maharaja Agrasen International Airport,HSS,VIHR,International,Yes,"Civil Aviation Department, Haryana and Haryana Institute of Civil Aviation",Haryana,RCS-UDAN,29.186065,75.74142,,,271.0,128.0,35.0,0.0,353182.0
Kangra,Kangra Airport,DHM,VIGG,Domestic,Yes,AAI,Himachal Pardesh,Krishi-Udan,32.164902,76.263018,,,129995.0,176247.0,201391.0,209834.0,0.0
Kullu-Manali,KulluManali Airport,KUU,VIBR,Domestic,Yes,AAI,Himachal Pardesh,RCS-UDAN & Krishi-Udan,31.876699,77.154404,,,17638.0,17539.0,16890.0,29649.0,0.0
Shimla,Shimla Airport,SLV,VISM,Domestic,Yes,AAI,Himachal Pardesh,RCS-UDAN & Krishi-Udan,31.0818,77.068001,,,1894.0,11325.0,19778.0,25493.0,0.0
Jammu,Jammu Airport,IXJ,VIJU,Domestic (CE),Yes,MoD and AAI,Jammu and Kashmir,Krishi-Udan,32.688849,74.838152, Pilgrimage,Mini Hub,1273288.0,1579519.0,1456567.0,1614167.0,0.0
Srinagar,Srinagar Airport,SXR,VISR,Domestic (CE),Yes,MoD and AAI,Jammu and Kashmir,Krishi-Udan,33.987099,74.7742, Leisure,Mini Hub,3158400.0,4409665.0,4205541.0,4472449.0,0.0
Chakulia,Chakulia Airport,NAN,VECK,Domestic,No,AAI,Jharkhand,RCS-UDAN,0.0,0.0,,,,,,0.0,116663.0
Deoghar,Deoghar Airport,DGH,VEDO,Domestic,Yes,AAI and State Government,Jharkhand,RCS-UDAN,24.446842,86.704955,,,0.0,76430.0,163012.0,281442.0,116663.0
Jamshedpur,Sonari Airport,IXW,VEJS,Domestic,Yes,Tata Steel,Jharkhand,RCS-UDAN,22.813706,86.168981,,,0.0,4403.0,9939.0,9553.0,116663.0
Ranchi,Birsa Munda Airport,IXR,VERC,Domestic,Yes,AAI,Jharkhand,Krishi-Udan,23.314300537100003,85.3217010498, Industrial,Mini Hub,1723237.0,2417774.0,2577406.0,2569371.0,116663.0
Belagavi,Belagavi Airport,IXG,VOBM,Domestic,Yes,AAI,Karnataka,RCS-UDAN & Krishi-Udan,15.8593,74.618301,,,280016.0,297905.0,312447.0,340295.0,380906.0
