Origin,Destination,Distance_Km
AHMEDABAD,AMRITSAR,983
BENGALURU,DARBHANGA,1680
AHMEDABAD,GORAKHPUR,1164
BENGALURU,GORAKHPUR,1620
CHENNAI,GORAKHPUR,1567
DELHI,GORAKHPUR,658
PRAYAGRAJ,GORAKHPUR,224
AHMEDABAD,JAMMU,1090
AMRITSAR,JAMMU,109
BENGALURU,JAMMU,2187
BHUBANESWAR,JAMMU,1760
CHANDIGARH,JAMMU,290
CHENNAI,JAMMU,2257
DELHI,JAMMU,508
HYDERABAD,JAMMU,1756
INDORE,JAMMU,1112
JAIPUR,JAMMU,659
BENGALURU,MADURAI,376
CHENNAI,MADURAI,417
DELHI,MADURAI,2084
HYDERABAD,MADURAI,823
AHMEDABAD,PRAYAGRAJ,959
BENGALURU,TIRUCHIRAPPALLI,292
CHENNAI,TIRUCHIRAPPALLI,294
HYDERABAD,TIRUCHIRAPPALLI,720
KOZHIKODE / MALAPPURAM,TIRUCHIRAPPALLI,894
MANGALURU,TIRUCHIRAPPALLI,483
MUMBAI,TIRUCHIRAPPALLI,1119
RAJAHMUNDRY,TIRUCHIRAPPALLI,780
BELAGAVI,TIRUPATI,584
BENGALURU,TIRUPATI,204
CHENNAI,TIRUPATI,99
DELHI,TIRUPATI,1679
HYDERABAD,TIRUPATI,418
INDORE,TIRUPATI,1085
KALABURAGI,TIRUPATI,493
KOLHAPUR,TIRUPATI,657
KOLKATA,TIRUPATI,894
MUMBAI,TIRUPATI,935
NAGPUR,TIRUPATI,831
SHIRDI,TIRUPATI,870
SHIVAMOGGA,TIRUPATI,424
AHMEDABAD,VARANASI,1070
AMRITSAR,VARANASI,1050
SILIGURI,VARANASI,563
BENGALURU,VARANASI,1466
BHUBANESWAR,VARANASI,653
CHENNAI,VARANASI,1414
COIMBATORE,VARANASI,1717
DELHI,VARANASI,667
GORAKHPUR,VARANASI,155
HYDERABAD,VARANASI,1023
INDORE,VARANASI,778
JAIPUR,VARANASI,720
KHAJURAHO,VARANASI,305
KOCHI / THRISSUR,VARANASI,894
KOLKATA,VARANASI,894
LUCKNOW,VARANASI,245
MUMBAI,VARANASI,1248
PANTNAGAR,VARANASI,520
PATNA,VARANASI,224
PUNE,VARANASI,1197
RANCHI,VARANASI,344
CHENNAI,DARBHANGA,1586
HYDERABAD,DARBHANGA,1261
HYDERABAD,GORAKHPUR,1177
DEHRADUN,JAMMU,421
GWALIOR,JAMMU,783
MOPA,MADURAI,801
DELHI,TIRUCHIRAPPALLI,1986
KOCHI / THRISSUR,TIRUCHIRAPPALLI,894
GONDIA,TIRUPATI,881
JAIPUR,TIRUPATI,1517
MADURAI,TIRUPATI,451
MOPA,VARANASI,1428
GUWAHATI,VARANASI,876
KANNUR,VARANASI,1690
PRAYAGRAJ,VARANASI,113
RAIPUR,VARANASI,489
SRINAGAR,VARANASI,1228
MOPA,AMRITSAR,1778
DABOLIM,DARBHANGA,1737
MUMBAI,DARBHANGA,1553
CHANDIGARH,GORAKHPUR,783
MUMBAI,GORAKHPUR,1377
MUMBAI,JAMMU,1525
INDORE,MADURAI,1454
MUMBAI,MADURAI,1172
KANNUR,TIRUCHIRAPPALLI,369
COIMBATORE,TIRUPATI,397
HUBLI,TIRUPATI,517
NASHIK,TIRUPATI,937
PUNE,TIRUPATI,814
RAJAHMUNDRY,TIRUPATI,457
TIRUCHIRAPPALLI,TIRUPATI,331
DABOLIM,VARANASI,1462
DEHRADUN,VARANASI,700
JAMMU,VARANASI,1120
NAGPUR,VARANASI,622
AHMEDABAD,DARBHANGA,1386
COIMBATORE,DARBHANGA,1926
DABOLIM,GORAKHPUR,1608
AHMEDABAD,MADURAI,1583
JODHPUR,TIRUCHIRAPPALLI,1822
JABALPUR,TIRUPATI,1063
GAYA,VARANASI,225
SILCHAR,VARANASI,1019
SILIGURI,JAMMU,1463
GUWAHATI,JAMMU,1777
COIMBATORE,MADURAI,176
KOLKATA,MADURAI,894
DABOLIM,TIRUPATI,644
BHOPAL,VARANASI,609
SURAT,VARANASI,1140
BATHINDA,JAMMU,269
KANGRA,JAMMU,146
BELAGAVI,MADURAI,768
COIMBATORE,TIRUCHIRAPPALLI,185
MADURAI,TIRUCHIRAPPALLI,124
AGRA,VARANASI,524
JHARSUGUDA,VARANASI,412
MANGALURU,VARANASI,1621
TIRUPATI,VARANASI,1359
THIRUVANANTHAPURAM,VARANASI,894
DEHRADUN,GORAKHPUR,642
DABOLIM,JAMMU,1927
BHUBANESWAR,MADURAI,1424
DABOLIM,MADURAI,771
DEHRADUN,MADURAI,2263
KOCHI / THRISSUR,MADURAI,894
KOZHIKODE / MALAPPURAM,MADURAI,894
AHMEDABAD,TIRUPATI,1278
KOCHI / THRISSUR,TIRUPATI,894
KOZHIKODE / MALAPPURAM,VARANASI,894
UDAIPUR,VARANASI,908
GUWAHATI,GORAKHPUR,813
KOLKATA,GORAKHPUR,894
MOPA,JAMMU,1887
KOLKATA,JAMMU,894
DELHI,PRAYAGRAJ,575
MOPA,TIRUPATI,654
JAISALMER,VARANASI,1207
VIJAYAWADA,VARANASI,1015
